Timestamp,PID,Name,CPU Usage (%),Memory Usage (MB),Disk Read (Bytes),Disk Write (Bytes)
'2025-07-04 13:45:45,2685976,3dslam,26.0,859.93359375,35074048,177606656
'2025-07-04 13:45:48,2685976,3dslam,22.0,859.93359375,35074048,177704960
'2025-07-04 13:45:51,2685976,3dslam,21.0,859.93359375,35074048,177782784
'2025-07-04 13:45:54,2685976,3dslam,21.0,859.93359375,35074048,177860608
'2025-07-04 13:45:57,2685976,3dslam,21.0,859.93359375,35074048,177938432
'2025-07-04 13:46:01,2685976,3dslam,24.0,859.93359375,35074048,178020352
'2025-07-04 13:46:04,2685976,3dslam,24.0,859.93359375,35074048,178102272
'2025-07-04 13:46:07,2685976,3dslam,24.0,859.93359375,35074048,178200576
'2025-07-04 13:46:10,2685976,3dslam,25.0,859.93359375,35074048,178282496
'2025-07-04 13:46:13,2685976,3dslam,24.0,859.93359375,35074048,178364416
'2025-07-04 13:46:17,2685976,3dslam,26.0,859.93359375,35074048,178434048
'2025-07-04 13:46:20,2685976,3dslam,29.0,859.93359375,35074048,178507776
'2025-07-04 13:46:23,2685976,3dslam,24.0,859.93359375,35074048,178606080
'2025-07-04 13:46:26,2685976,3dslam,22.0,859.93359375,35074048,178679808
'2025-07-04 13:46:29,2685976,3dslam,22.0,859.93359375,35074048,178757632
'2025-07-04 13:46:32,2685976,3dslam,29.0,859.93359375,35074048,178835456
'2025-07-04 13:46:36,2685976,3dslam,25.0,859.93359375,35074048,178909184
'2025-07-04 13:46:39,2685976,3dslam,27.0,859.93359375,35074048,178974720
'2025-07-04 13:46:42,2685976,3dslam,26.0,859.93359375,35074048,179073024
