Timestamp,Name,CPU Usage (%),Memory Usage (%),Disk Usage (%),Net Read (Bytes),Net Send (Bytes)
'2025-07-04 13:45:45,system,32.2,64.9,6.7,681377557049,684132258661
'2025-07-04 13:45:48,system,24.9,64.9,6.7,681391684163,684146344379
'2025-07-04 13:45:51,system,24.4,64.9,6.7,681406336303,684160959802
'2025-07-04 13:45:54,system,23.8,64.9,6.7,681420495903,684175081208
'2025-07-04 13:45:57,system,23.7,64.7,6.7,681434554435,684189104811
'2025-07-04 13:46:00,system,23.9,64.7,6.7,681448644147,684203156753
'2025-07-04 13:46:04,system,24.4,64.8,6.7,681462843431,684217324401
'2025-07-04 13:46:07,system,28.7,64.8,6.7,681476975505,684231412093
'2025-07-04 13:46:10,system,31.7,64.7,6.7,681491591577,684245992787
'2025-07-04 13:46:13,system,30.4,64.8,6.7,681505649561,684260013869
'2025-07-04 13:46:16,system,30.8,64.8,6.7,681519756926,684274084116
'2025-07-04 13:46:20,system,31.4,64.8,6.7,681533785316,684288079218
'2025-07-04 13:46:23,system,26.1,64.9,6.7,681547809561,684302061895
'2025-07-04 13:46:26,system,26.4,64.9,6.7,681562397087,684316616741
'2025-07-04 13:46:29,system,25.0,64.9,6.7,681576496163,684330679811
'2025-07-04 13:46:32,system,29.8,64.7,6.7,681590333891,684344481866
'2025-07-04 13:46:35,system,33.3,64.8,6.7,681604213116,684358324907
'2025-07-04 13:46:39,system,30.3,64.9,6.7,681618153963,684372227172
'2025-07-04 13:46:42,system,31.3,64.8,6.7,681631323809,684385352961
